gene_id	gene_name	X12_count	X13_count	X15_count	X42_count	X45_count	X5_count	X7_count
ENSG00000282222	AC073488.4	0	0	0	0	0	0	0
ENSG00000282221	AC119427.1	0	0	0	0	0	0	0
ENSG00000212040	MIR543	0	0	0	0	0	0	0
ENSG00000110514	MADD	4822	4534	3944	866	1439	1806	946
ENSG00000086015	MAST2	512	501	476	130	207	177	194
ENSG00000211769	TRBJ2-5	2	3	1	0	2	0	1
ENSG00000211768	TRBJ2-4	5	3	5	0	4	1	3
ENSG00000250337	PURPL	0	0	0	0	0	0	0
ENSG00000255071	SAA2-SAA4	0	1	0	0	0	0	0
ENSG00000211767	TRBJ2-3	10	15	10	3	6	1	4
ENSG00000211766	TRBJ2-2P	4	10	10	2	2	2	3
ENSG00000211765	TRBJ2-2	2	2	2	1	2	2	2
ENSG00000211764	TRBJ2-1	1	3	1	2	2	0	1
ENSG00000201510	RN7SKP217	0	0	0	0	0	0	0
ENSG00000169740	ZNF32	416	333	318	110	100	129	66
ENSG00000215869	AC092506.1	0	8	0	0	7	2	1
ENSG00000261609	GAN	508	770	719	385	456	410	390
ENSG00000169744	LDB2	37	34	55	7	5	21	7
ENSG00000261607	AC140658.4	0	0	0	0	0	0	0
ENSG00000261606	AC091230.1	7	12	4	1	3	6	2
ENSG00000215866	LINC01356	0	0	0	0	0	0	0
ENSG00000261604	AC114947.2	0	0	1	0	0	0	0
ENSG00000261603	PRSS46P	0	0	0	0	0	0	0
ENSG00000261602	AC092115.2	1	2	3	4	6	1	2
ENSG00000261600	AC233266.2	2	2	2	0	0	1	0
ENSG00000266469	AC005288.1	26	43	16	14	15	16	19
ENSG00000168298	HIST1H1E	1329	1354	1787	136	300	294	351
ENSG00000168297	PXK	1039	1201	1085	631	836	607	1014
ENSG00000266460	AC021506.1	0	0	0	0	0	0	0
ENSG00000266461	MIR2392	0	0	0	0	0	0	0
ENSG00000266466	AC233702.7	0	0	0	0	0	0	0
ENSG00000266467	RN7SL220P	7	7	1	16	7	12	9
ENSG00000168291	PDHB	540	686	690	332	322	277	249
ENSG00000262558	AC129507.3	0	0	0	0	0	0	0
ENSG00000270591	AL049840.6	0	0	0	2	1	0	0
ENSG00000262554	AC004232.1	1	1	1	1	1	1	1
ENSG00000254141	AC103853.2	0	0	0	0	0	0	0
ENSG00000225108	ZBTB45P1	0	0	0	0	0	0	0
ENSG00000248287	SCGB1D5P	0	0	0	0	0	0	0
ENSG00000225100	DPY19L2P5	0	0	0	0	0	0	0
ENSG00000225101	OR52K3P	132	211	144	65	250	37	511
ENSG00000225102	AL157373.1	0	0	0	0	0	0	0
ENSG00000233579	KRT8P15	5	4	6	0	5	12	9
ENSG00000225105	LINC01076	0	0	0	0	0	0	0
ENSG00000225106	AL162457.2	0	0	0	0	0	0	0
ENSG00000225107	AC092484.1	0	0	0	0	0	0	0
ENSG00000226457	RPL22P3	1	0	0	1	1	0	0
ENSG00000226455	AL121787.1	0	0	0	0	0	0	0
ENSG00000226454	AL033380.1	5	1	2	0	2	2	1
ENSG00000149792	MRPL49	689	358	712	402	197	140	158
ENSG00000226450	CYP2D8P	15	15	14	0	10	3	20
ENSG00000141854	MISP3	60	61	24	3	23	0	23
ENSG00000149798	CDC42EP2	90	120	118	194	622	8	452
ENSG00000238419	RNU7-186P	0	0	0	0	0	0	0
ENSG00000283571	AC245369.1	0	0	0	0	0	0	0
ENSG00000212153	RNU1-82P	0	0	0	0	0	0	0
ENSG00000183055	FAM133CP	5	6	6	0	4	7	2
ENSG00000183054	RGPD6	74	64	85	12	74	43	40
ENSG00000283575	RF00026	1	2	1	5	1	9	5
ENSG00000283576	AC100810.6	0	0	0	0	0	0	0
ENSG00000283579	AL160035.1	0	0	0	0	0	0	0
ENSG00000283578	MTND5P42	0	0	0	0	1	0	0
ENSG00000251078	SLC25A5P9	0	0	0	0	0	0	0
ENSG00000221628	MIR1302-4	0	0	0	0	0	0	0
ENSG00000250566	UGT2B29P	0	0	0	0	0	0	0
ENSG00000259244	AC048382.2	3	2	2	2	1	7	1
ENSG00000250564	AC109454.3	0	0	0	0	0	0	0
ENSG00000250565	ATP6V1E2	138	182	163	68	82	58	50
ENSG00000250562	RPL38P4	0	0	0	0	0	1	0
